lon;lat;Model1;Model2;Model3;GSMaP
90,25 ;1,88 ;10,25;11,84;11,81;2,88
90,25 ;2,00 ;9,72;12,19;11,36;3,84
90,25 ;2,13 ;10,53;12,77;8,86;7,68
90,25 ;2,25 ;11,28;13,17;10,02;8,4
90,25 ;2,38 ;11,97;11,8;7,92;9,84
90,25 ;2,50 ;13,75;10,67;7,19;27,36
90,25 ;2,63 ;15,12;11,47;8,72;29,04
90,25 ;2,75 ;14,41;13,16;13,88;33,12
90,25 ;2,88 ;17,62;14,88;11,11;30,96
90,25 ;3,00 ;21,53;13,78;12,73;24,72
90,25 ;3,13 ;23,75;13,05;11,28;22,08
90,25 ;3,25 ;21,28;15,83;11,17;19,68
90,25 ;3,38 ;19,38;17,81;12,66;18
90,25 ;3,50 ;23,34;20;14,44;18,96
90,25 ;3,63 ;27,97;22,77;17,06;24,72
90,25 ;3,75 ;27,56;18,89;17,36;31,92
90,25 ;3,88 ;25,84;13,44;15,34;34,56
90,25 ;4,00 ;22,41;10,8;11,05;56,88
90,25 ;4,13 ;21,5;11,16;8,75;66,24
90,25 ;4,25 ;22,91;9,94;7,45;72
90,25 ;4,38 ;20,31;10,53;5,38;69,6
90,25 ;4,50 ;14,84;10,86;6,69;63,84
90,25 ;4,63 ;10,25;11,47;6,53;50,88
90,25 ;4,75 ;9,91;12,11;7,28;54,96
90,25 ;4,88 ;9,97;14,91;7,78;43,44
90,25 ;5,00 ;8,62;13,64;7,64;33,12
90,25 ;5,13 ;8,56;10,08;7,02;20,64
90,25 ;5,25 ;8,12;7,52;6,34;15,36
90,25 ;5,38 ;8,81;6,08;6,5;12,24
90,25 ;5,50 ;8,56;5,95;5,98;10,8
90,25 ;5,63 ;8,44;5,69;5,8;12,96
90,25 ;5,75 ;7,47;5,66;5,06;13,68
90,25 ;5,88 ;7,38;4,67;5,5;17,28
90,25 ;6,00 ;7,31;4,42;4,98;21,12
90,25 ;6,13 ;7,22;4,48;4,64;23,52
90,25 ;6,25 ;5,72;4,58;4,44;20,4
90,25 ;6,38 ;4,41;5,22;4,67;17,04
90,25 ;6,50 ;3,81;4,72;4,16;12,72
90,25 ;6,63 ;3,41;5,25;4,06;11,52
90,25 ;6,75 ;2,81;4,75;4,14;11,04
90,25 ;6,88 ;2,81;4,56;3,12;9,36
90,25 ;7,00 ;2,78;6,05;2,53;17,76
90,25 ;7,13 ;2,41;6,81;1,75;23,76
90,25 ;7,25 ;2,81;6,95;1,94;23,76
90,25 ;7,38 ;3;6,81;1,8;23,52
90,25 ;7,50 ;2,16;7,11;1,41;21,12
90,25 ;7,63 ;2,03;6,33;1,19;19,44
90,25 ;7,75 ;2,09;5,75;1,12;17,76
90,25 ;7,88 ;2,44;5,97;0,98;16,8
90,25 ;8,00 ;1,81;5,34;1,3;13,44
90,25 ;8,13 ;1,81;5,33;1,23;4,56
90,25 ;8,25 ;1,31;4,56;0,94;3,12
90,25 ;8,38 ;1,41;5,06;0,84;0,96
90,25 ;8,50 ;1,91;4,36;0,69;0
90,25 ;8,63 ;1,19;4,02;0,5;0
90,25 ;8,75 ;1;4,45;0,44;0
90,25 ;8,88 ;0,69;2,59;0,23;0
90,25 ;9,00 ;0,66;2,33;0,19;0
90,25 ;9,13 ;0,53;2,23;0,2;0
90,25 ;9,25 ;0,56;1,78;0,2;0,24
90,25 ;9,38 ;0,78;1,97;0,11;0
90,25 ;9,50 ;0,66;1,19;0,17;0
90,25 ;9,63 ;0,47;0,95;0,11;0
90,25 ;9,75 ;0,56;0,66;0,11;0
90,25 ;9,88 ;0,44;0,67;0,14;0
90,25 ;10,00 ;0,5;0,25;0,12;0
90,38 ;-10,00 ;15,62;13,08;12,44;73,44
90,38 ;-9,88 ;17,03;12,34;13,81;77,76
90,38 ;-9,75 ;17,91;13,12;15,78;82,08
90,38 ;-9,63 ;19,31;12,14;16,73;77,04
90,38 ;-9,50 ;21,34;10,59;15,81;61,68
